Time;Channel 1.1;Channel 1.2;Channel 1.3;Channel 1.4;Channel 2.1;Channel 2.2;Channel 2.3;Channel 2.4
04-05-2020_20-37-08-069;-23.56535;22.27862;11.832967;21.21737;200.1133;138.0289;123.16872;87.36254
04-05-2020_20-37-08-089;-23.56535;21.18977;11.591287;20.6553;199.2894;135.7249;122.49808;87.47875
04-05-2020_20-37-08-109;-23.56535;21.5809;9.378389;18.81464;200.4917;142.0945;126.60851;87.62531
04-05-2020_20-37-08-129;-23.56535;22.94441;5.092427;16.0753;199.0912;153.1079;129.7876;83.85791
04-05-2020_20-37-08-149;-23.56535;22.80417;5.933066;16.73733;200.815;150.5814;129.8031;84.84451
04-05-2020_20-37-08-169;-23.56535;20.44136;15.409631;23.52959;198.7404;123.09305;116.20744;87.34779
04-05-2020_20-37-08-189;-23.56535;19.44443;16.32182;24.35043;199.0061;117.32725;114.82789;89.37952
04-05-2020_20-37-08-208;-23.56535;20.20705;16.60231;24.69107;198.5179;117.17004;115.63244;89.1584
04-05-2020_20-37-08-228;-23.56535;21.44832;10.55057;20.44831;197.2722;133.315;122.71249;85.9586
04-05-2020_20-37-08-248;-23.56535;21.28023;10.083669;20.3421;196.4109;133.4675;121.08894;86.79023
04-05-2020_20-37-08-268;-23.56535;21.28509;8.97191;19.26976;200.1334;139.5159;123.2155;86.76838
04-05-2020_20-37-08-289;-23.56535;21.09773;9.548808;19.68947;198.2984;139.0205;123.41965;86.105
04-05-2020_20-37-08-309;-23.56535;22.07666;8.820116;19.54756;196.3396;137.9992;125.87138;84.64373
04-05-2020_20-37-08-329;-23.56535;22.28544;8.229411;19.5625;197.8071;139.6115;125.41473;85.2353
04-05-2020_20-37-08-349;-23.56535;21.42667;8.490992;19.44521;197.5192;137.8176;123.32705;85.94526
04-05-2020_20-37-08-369;-23.56535;21.33945;8.639286;19.53884;199.9897;138.2463;122.83314;86.00993
04-05-2020_20-37-08-388;-23.56535;21.41757;10.561592;20.41184;197.3136;134.0261;120.84215;85.70781
04-05-2020_20-37-08-408;-23.56535;21.49174;9.24654;20.16113;197.9152;136.9816;122.33245;85.14913
04-05-2020_20-37-08-428;-23.56535;21.49804;8.649147;19.72872;197.353;137.6807;123.2914;85.80858
04-05-2020_20-37-08-448;-23.56535;21.1825;8.808185;19.47957;196.6364;136.9672;123.34515;85.51888
04-05-2020_20-37-08-468;-23.56535;21.22987;8.756145;19.22867;197.1523;137.3859;123.52404;86.9931
04-05-2020_20-37-08-489;-23.56535;21.39999;9.67066;19.42862;197.9651;137.5908;124.40944;86.18846
04-05-2020_20-37-08-508;-23.56535;21.37534;10.288692;20.29944;199.7926;136.7919;121.99152;86.02606
04-05-2020_20-37-08-528;-23.56535;21.17301;10.517272;20.06573;197.3144;135.9368;120.92184;85.99809
04-05-2020_20-37-08-548;-23.56535;21.46363;11.072423;20.4409;199.4664;136.127;121.84806;87.51188
04-05-2020_20-37-08-568;-23.56535;21.1832;10.721931;20.52273;199.0033;137.3464;122.72346;87.05733
04-05-2020_20-37-08-588;-23.56535;21.60651;9.306966;19.32358;198.5843;141.2414;125.5701;86.04446
04-05-2020_20-37-08-608;-23.56535;21.85795;10.202855;20.01836;200.1035;140.9699;125.40322;88.20535
04-05-2020_20-37-08-628;-23.56535;21.6236;9.899529;19.55025;199.377;139.0423;124.25732;87.47402
04-05-2020_20-37-08-648;-23.56535;21.17286;9.796144;19.51953;197.346;137.5801;122.26475;85.66055
04-05-2020_20-37-08-668;-23.56535;21.39096;7.705789;18.486;197.6802;140.5221;124.08143;85.99979
04-05-2020_20-37-08-688;-23.56535;21.58968;9.327822;20.0535;197.5329;137.8752;123.84599;86.77129
04-05-2020_20-37-08-708;-23.56535;21.73991;11.539641;21.55068;198.6828;134.3924;121.87087;88.24239
04-05-2020_20-37-08-728;-23.56535;21.62559;11.076632;20.37616;196.5098;135.5715;122.61533;85.71294
04-05-2020_20-37-08-748;-23.56535;21.13351;9.648108;19.87559;199.2393;138.439;122.90735;86.51968
04-05-2020_20-37-08-768;-23.56535;20.58916;13.076705;22.44323;201.1186;132.6151;120.28816;89.10582
04-05-2020_20-37-08-788;-23.56535;22.65557;6.308806;17.91297;197.7642;144.2927;127.21848;85.90414
04-05-2020_20-37-08-808;-23.56535;22.74981;4.940064;17.11352;200.5471;145.8796;129.2157;85.65141
04-05-2020_20-37-08-828;-23.56535;20.69419;14.280134;23.31236;200.7061;128.0643;118.08648;89.27802
04-05-2020_20-37-08-848;-23.56535;22.45188;7.062096;18.12087;199.4359;144.5007;127.73537;84.7694
04-05-2020_20-37-08-869;-23.56535;21.22353;13.863727;23.34541;199.0874;128.8213;118.38258;88.27452
04-05-2020_20-37-08-888;-23.56535;23.72399;2.505277;14.817237;198.5042;154.7459;133.7067;83.23973
04-05-2020_20-37-08-908;-23.56535;16.63046;37.38952;40.12158;204.8842;78.94817;87.78387;98.98682
04-05-2020_20-37-08-928;-23.56535;23.07063;2.376904;14.098869;198.3816;157.573;134.1933;83.02282
04-05-2020_20-37-08-948;-23.56535;23.64046;3.184326;14.747304;197.3899;156.5665;134.2212;82.88859
04-05-2020_20-37-08-968;-23.56535;21.48494;14.525081;23.07979;199.2666;131.5357;117.40527;86.75078
04-05-2020_20-37-08-988;-23.56535;23.051;4.459791;16.2633;198.3528;152.7832;131.3635;84.28979
04-05-2020_20-37-09-008;-23.56535;17.42608;27.28955;33.17765;202.7718;93.45099;97.71052;94.30307
04-05-2020_20-37-09-028;-23.56535;20.0096;12.470901;22.08235;201.0241;126.56518;118.09439;90.52132
04-05-2020_20-37-09-048;-23.56535;25.69405;-14.716623;2.324886;194.8943;188.1694;155.3992;76.81669
04-05-2020_20-37-09-068;-23.56535;22.09161;6.409939;17.68058;194.9788;139.7806;125.27055;84.98004
04-05-2020_20-37-09-088;-23.56535;19.13945;19.12626;27.28895;200.2966;111.17449;107.99889;91.12849
04-05-2020_20-37-09-108;-23.56535;24.87312;-9.973968;4.851147;196.4135;183.657;150.406;78.88256
04-05-2020_20-37-09-128;-23.56535;22.57062;0.4228306;13.437511;197.6215;154.4609;135.6062;84.07851
04-05-2020_20-37-09-148;-23.56535;18.58154;22.62404;30.04561;201.5037;105.44299;103.93732;92.67562
04-05-2020_20-37-09-168;-23.56535;19.95345;19.29407;27.50419;201.1009;117.04018;110.60312;89.95858
04-05-2020_20-37-09-188;-23.56535;23.02387;2.245091;14.630462;197.5656;155.8251;133.2565;83.29775
04-05-2020_20-37-09-208;-23.56535;18.34629;20.87333;27.69207;201.5169;112.11549;108.78825;93.68456
04-05-2020_20-37-09-228;-23.56535;22.79401;-0.01719475;12.96887;197.6211;157.0558;135.6584;83.87289
04-05-2020_20-37-09-248;-23.56535;21.62381;11.644274;21.88373;201.7445;135.374;120.87918;86.67645
04-05-2020_20-37-09-268;-23.56535;22.34524;11.108841;21.2833;198.1648;135.1583;122.3616;86.67312
04-05-2020_20-37-09-288;-23.56535;22.78618;8.910517;19.35004;198.4012;141.2846;124.31116;85.84225
04-05-2020_20-37-09-308;-23.56535;21.90411;8.010898;18.29462;199.4793;143.1976;126.47698;86.71142
04-05-2020_20-37-09-328;-23.56535;22.09473;8.605244;19.16421;197.846;141.3247;126.07343;86.28439
04-05-2020_20-37-09-348;-23.56535;21.87499;9.989516;20.75654;199.8722;138.6516;124.69153;88.22228
04-05-2020_20-37-09-368;-23.56535;22.59923;9.920949;20.3971;198.0168;137.6729;124.12394;85.96441
04-05-2020_20-37-09-388;-23.56535;21.99215;9.316845;19.58331;198.4076;138.0633;123.96677;85.49548
04-05-2020_20-37-09-408;-23.56535;21.40593;9.653124;19.58463;198.3713;137.8969;124.19431;86.88152
04-05-2020_20-37-09-428;-23.56535;21.5764;8.903015;19.6198;198.6076;140.1343;125.67695;86.85244
04-05-2020_20-37-09-448;-23.56535;21.54244;9.54891;20.04958;197.6956;137.7168;122.79637;85.88588
04-05-2020_20-37-09-468;-23.56535;21.76017;9.754812;19.96766;198.6613;136.1565;123.18333;86.20827
04-05-2020_20-37-09-488;-23.56535;21.06159;9.113972;18.95645;199.5725;139.8865;124.5098;87.93619
04-05-2020_20-37-09-508;-23.56535;21.24783;8.646076;18.78838;198.6639;141.8618;124.74937;87.03445
04-05-2020_20-37-09-528;-23.56535;21.65578;9.095066;19.91813;198.7444;138.9208;125.4704;88.06854
04-05-2020_20-37-09-548;-23.56535;21.41075;9.027256;20.023;198.8374;137.5078;122.74813;85.01007
04-05-2020_20-37-09-568;-23.56535;20.80032;9.234689;19.56941;199.3452;137.6378;123.44067;87.79403
04-05-2020_20-37-09-588;-23.56535;20.56729;8.298989;18.98586;198.1174;138.0581;123.1004;86.90642
04-05-2020_20-37-09-608;-23.56535;21.75554;8.895587;19.59418;198.3717;139.1009;122.6227;85.78735
04-05-2020_20-37-09-628;-23.56535;22.56671;8.760248;19.964;197.7768;140.3913;123.69798;86.58853
04-05-2020_20-37-09-648;-23.56535;22.21504;10.508039;20.9691;198.6194;136.4637;122.78742;86.65034
04-05-2020_20-37-09-668;-23.56535;22.17224;10.006197;19.94439;198.1424;137.1878;122.96942;86.26533
04-05-2020_20-37-09-688;-23.56535;21.33488;10.148905;20.16814;196.182;135.1795;121.51477;85.32356
04-05-2020_20-37-09-708;-23.56535;22.62531;9.712683;20.33151;197.7595;138.7203;124.35262;85.5518
04-05-2020_20-37-09-728;-23.56535;22.89142;10.435557;20.94864;198.1686;138.3386;124.19777;86.53741
04-05-2020_20-37-09-748;-23.56535;22.5397;11.09892;20.52091;197.8468;136.3934;123.06921;86.48092
04-05-2020_20-37-09-768;-23.56535;21.83158;9.847645;19.58427;198.3516;138.2495;123.55556;84.23257
04-05-2020_20-37-09-788;-23.56535;21.57997;9.471172;19.15629;197.3477;137.3345;122.98216;85.72653
04-05-2020_20-37-09-808;-23.56535;22.30785;9.468711;19.87252;197.1764;137.5707;123.85175;85.24834
04-05-2020_20-37-09-828;-23.56535;21.86826;10.138296;20.24597;198.0784;138.1054;123.77892;86.1736
04-05-2020_20-37-09-848;-23.56535;21.32911;10.925035;19.63168;198.4341;138.5441;122.80766;85.59346
04-05-2020_20-37-09-868;-23.56535;21.02873;9.651304;18.53501;196.0954;137.3373;121.74011;84.68571
04-05-2020_20-37-09-888;-23.56535;20.95637;10.402539;19.90216;196.7841;134.8231;122.02606;85.98689
04-05-2020_20-37-09-908;-23.56535;21.50323;9.944606;20.17022;197.3014;137.6577;122.12604;85.92282
04-05-2020_20-37-09-928;-23.56535;20.90117;8.995938;19.48485;198.5284;139.0831;123.41484;86.02103
04-05-2020_20-37-09-948;-23.56535;20.78837;9.55383;19.18395;199.38;137.8441;123.16385;87.20959
04-05-2020_20-37-09-968;-23.56535;20.82991;9.245091;18.70743;199.6514;139.152;122.97543;86.74454
04-05-2020_20-37-09-988;-23.56535;21.52446;9.465711;19.80483;197.7902;136.5889;122.24902;84.32907
04-05-2020_20-37-10-008;-23.56535;21.90152;9.805688;20.50426;197.8125;137.2907;122.93558;84.4174
04-05-2020_20-37-10-028;-23.56535;21.81497;10.154437;20.19491;198.4731;138.2681;123.72549;86.39238
04-05-2020_20-37-10-048;-23.56535;21.45618;9.815265;19.50814;198.6073;138.5712;123.57664;85.79964
04-05-2020_20-37-10-068;-23.56535;21.74316;9.945583;19.65858;198.325;138.3112;124.0084;86.45589
04-05-2020_20-37-10-088;-23.56535;22.46455;10.145753;20.36057;198.9096;138.4068;125.43948;85.2572
04-05-2020_20-37-10-108;-23.56535;22.52335;10.489707;20.69568;197.5988;138.0007;121.63719;85.58801
04-05-2020_20-37-10-128;-23.56535;21.8683;10.231503;20.25233;198.4577;137.8866;122.63223;85.67515
04-05-2020_20-37-10-148;-23.56535;21.78061;9.567269;19.42922;198.7807;137.9632;123.06754;85.14484
04-05-2020_20-37-10-168;-23.56535;21.93662;10.165277;20.08624;198.9206;139.3449;124.28247;85.18467
04-05-2020_20-37-10-188;-23.56535;22.35042;9.772952;20.43824;199.1771;139.3231;125.29897;87.12388
04-05-2020_20-37-10-208;-23.56535;22.58749;10.38735;20.37692;198.9321;137.8758;122.56366;85.51719
04-05-2020_20-37-10-228;-23.56535;21.31833;10.613727;20.06694;199.8736;137.9074;123.44296;85.74853
04-05-2020_20-37-10-248;-23.56535;21.55083;9.229319;19.17573;199.4868;140.354;124.03587;86.45575
04-05-2020_20-37-10-268;-23.56535;21.34759;9.384216;19.86647;198.9155;139.5193;124.0339;87.04505
04-05-2020_20-37-10-288;-23.56535;21.82244;9.408448;19.79461;199.4457;139.4191;125.19076;86.45545
04-05-2020_20-37-10-308;-23.56535;21.58038;9.690187;19.52161;199.4406;139.8679;124.82236;87.6052
04-05-2020_20-37-10-328;-23.56535;21.22198;9.255291;18.79174;198.9055;140.8621;125.43832;87.1196
04-05-2020_20-37-10-348;-23.56535;20.83356;8.807834;19.01066;200.5448;141.5557;125.79987;87.35192
04-05-2020_20-37-10-368;-23.56535;21.70694;9.210423;19.64292;200.1607;138.4779;123.853;85.93783
04-05-2020_20-37-10-388;-23.56535;22.07457;9.219821;19.8994;198.6704;139.2961;124.9281;87.64621
04-05-2020_20-37-10-408;-23.56535;21.44615;10.14332;19.96946;200.409;140.402;125.36995;87.61094
04-05-2020_20-37-10-428;-23.56535;21.16713;9.728544;19.53311;198.9304;140.732;126.15826;87.33134
04-05-2020_20-37-10-448;-23.56535;21.85854;9.629172;19.77702;198.1218;139.2411;123.80459;87.47624
04-05-2020_20-37-10-468;-23.56535;21.73309;9.205801;19.62439;200.5321;141.416;127.24824;89.55137
04-05-2020_20-37-10-488;-23.56535;21.75981;9.354023;19.88075;200.2741;139.765;124.81712;86.92358
04-05-2020_20-37-10-508;-23.56535;21.45928;8.884878;19.11964;199.0313;138.0945;123.97689;85.81785
04-05-2020_20-37-10-528;-23.56535;21.89199;9.803948;19.96383;200.496;139.6485;125.29972;87.30589
04-05-2020_20-37-10-548;-23.56535;22.53414;9.515131;20.42681;198.9672;140.1241;126.84595;87.70941
04-05-2020_20-37-10-568;-23.56535;22.30439;9.679852;20.19743;198.439;138.6098;125.61975;87.09187
04-05-2020_20-37-10-588;-23.56535;21.86895;9.175673;20.01133;202.0882;142.0002;125.40638;89.54229
04-05-2020_20-37-10-608;-23.56535;21.54909;9.040005;19.62166;198.6527;138.0033;123.7817;85.66626
04-05-2020_20-37-10-628;-23.56535;21.80924;9.038777;19.55681;197.0457;137.9646;123.6208;86.3534
04-05-2020_20-37-10-648;-23.56535;21.77158;9.423925;19.77314;198.6477;139.2619;124.34277;87.10803
04-05-2020_20-37-10-668;-23.56535;21.27548;9.277139;19.72975;199.698;138.4525;123.88077;86.78557
04-05-2020_20-37-10-688;-23.56535;20.93291;9.172823;19.08166;197.6345;136.6046;121.94048;85.90189
04-05-2020_20-37-10-708;-23.56535;20.86946;8.983494;19.1496;199.3501;138.2287;123.1826;85.74308
04-05-2020_20-37-10-728;-23.56535;21.65592;9.027926;19.50026;198.1992;138.1533;123.42622;85.76714
04-05-2020_20-37-10-748;-23.56535;21.67964;9.663496;20.21303;198.6869;137.741;122.52821;85.65053
04-05-2020_20-37-10-768;-23.56535;21.5332;9.54381;19.41928;199.2844;138.5733;123.92645;87.40331
04-05-2020_20-37-10-788;-23.56535;21.28728;9.702244;19.54537;197.3053;135.7242;122.09536;87.19368
04-05-2020_20-37-10-808;-23.56535;21.54857;9.421969;19.57656;195.677;135.8784;122.20887;84.95067
